"Post_id","Post_sender","Publish_time","Post_content"
"304","50","2019-08-12-12:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownV It's tiring being in the world without Molly$ Watching horrors unfold in the daily news] Extended family drama+ Cancer recoveryU Eli's fall today0 PTSDg Parenting% MarriageF Griefi It all feels heavy tonightB"
"305","70","2018-11-05-05:30","This book is really boring:I hate it"
"306","77","2019-07-16-08:31","this salmon i made for this Babyshower yesterday was glistenin"
"308","91","2019-07-04-09:31","How can they show a shirtless man riding a horse "
"309","48","2018-08-14-06:31","Look closely at the ""smudges"" -- the stretched out swaths seen here as pink-ish streaksW Those are some of the most distant galaxies, with their light stretched and distorted by the gravity of the cluster of galaxies in the foreground, in what we call gravitational lensing "
"310","26","2019-02-02-02:28","BREAKING: NASA has revealed the first scientific image from the James Webb telescopel The deepest and sharpest image of the early universe ever taken "
"311","4","2019-07-17-08:31","this salmon i made for this Babyshower yesterday was glistenin"
"312","67","2018-10-04-03:31","Can't afford handcuffs"
"313","74","2018-08-02-05:31","this salmon i made for this Babyshower yesterday was glistenin"
"314","43","2019-06-06-06:30","I'm in Eli's Molly's bed, so exhausted I can barely move to my own? It's tiring being in the world without Molly) Watching horrors unfold in the daily news3 Extended family drama3 Cancer recovery\ Eli's fall today@ PTSDs ParentingD MarriageY Grief[ It all feels heavy tonight+"
"315","30","2018-05-29-03:31","It is a nice day for me!"
"317","12","2019-08-09-01:31","BREAKING: NASA has revealed the first scientific image from the James Webb telescopeu The deepest and sharpest image of the early universe ever taken "
"318","51","2018-09-02-12:30","How can they show a shirtless man riding a horse "
"319","51","2019-09-30-06:30","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on TuesdayS I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"321","64","2019-02-15-06:28","might have to take over your Mom's corner/live on wildflowers,"
"322","70","2019-07-12-05:31","BREAKING: NASA has revealed the first scientific image from the James Webb telescope} The deepest and sharpest image of the early universe ever taken "
"323","49","2019-12-18-06:31"," Texans are being urged to conserve electricity from 2 p4m? to 8 pPm4 Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackouts%"
"325","91","2019-03-27-04:31","""I HAVE FAKE HAIR AND A FAKE TAN BUT YOU CANT TELL BC BOYS ARE DUMB"""
"326","82","2018-08-10-12:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"327","45","2019-02-13-11:28","Shop Gem now and discover the next four designs at http://brbyJco/avi"
"328","93","2019-05-19-10:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownu It's tiring being in the world without Mollys Watching horrors unfold in the daily newsU Extended family drama2 Cancer recoveryJ Eli's fall today] PTSD= ParentingT MarriageU GriefE It all feels heavy tonight8"
"329","44","2019-11-11-03:30","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"331","28","2018-12-14-12:31","Gabby: You can't tell because boys are dumb"
"333","36","2018-12-23-09:31","How can they show a shirtless man riding a horse "
"334","85","2019-10-16-08:31","I really love rabbit soooo much"
"335","34","2019-07-15-07:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownA It's tiring being in the world without MollyC Watching horrors unfold in the daily newsV Extended family drama@ Cancer recoveryt Eli's fall todayv PTSD@ ParentingE Marriagev Grief` It all feels heavy tonight3"
"336","73","2019-07-25-02:31","always and great wine!"
"337","82","2019-02-03-10:28","How can they show a shirtless man riding a horse "
"338","33","2018-11-04-01:30","this salmon i made for this Babyshower yesterday was glistenin"
"339","25","2018-02-20-04:28","This is such a pretty makeup look"
"340","32","2018-04-30-10:30","this salmon i made for this Babyshower yesterday was glistenin"
"341","32","2019-08-13-03:31","It is a nice day for me!"
"342","71","2018-08-30-11:31","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great assQ"
"343","83","2018-04-26-02:30","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great assv"
"344","88","2018-05-20-09:31","Can't afford handcuffs"
"345","0","2018-05-27-08:31","I really love rabbit soooo much"
"348","83","2019-07-02-08:31","It is a nice day for me!"
"349","3","2018-05-26-01:31","Everything is so expensive0 Forces you to change your lifestyle% Tell us what you do to get byf"
"350","52","2019-06-08-08:30","""I HAVE FAKE HAIR AND A FAKE TAN BUT YOU CANT TELL BC BOYS ARE DUMB"""
"352","39","2018-12-20-02:31","Shop Gem now and discover the next four designs at http://brby`co/avi"
"353","66","2018-10-02-05:31","Gabby: You can't tell because boys are dumb"
"354","40","2019-10-02-10:31"," Shop Gem now and discover the next four designs at http://brby""co/avi"
"355","58","2018-08-22-10:31"," Texans are being urged to conserve electricity from 2 p+mf to 8 pCm) Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackouts)"
"356","88","2018-06-07-05:30","This is such a pretty makeup look"
"357","31","2018-07-15-03:31","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great assC"
"358","41","2018-03-09-01:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"359","79","2019-10-27-03:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"360","22","2018-12-26-11:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"361","29","2019-05-27-11:31","It is a nice day for me!"
"362","15","2018-08-02-01:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesday_ I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"363","53","2019-11-19-07:30","This book is really boringPI hate it"
"364","25","2018-11-08-03:30","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great assC"
"365","43","2019-08-04-09:31","Just dropped: the first virtual Lola bag from Burberry Hit is now available to shop for 24 hours only"
"368","34","2018-03-28-05:31","Gabby: You can't tell because boys are dumb"
"369","87","2018-11-07-07:30","this salmon i made for this Babyshower yesterday was glistenin"
"370","93","2019-11-10-07:30","Shop Gem now and discover the next four designs at http://brby.co/avi"
"371","29","2019-03-29-09:31","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great assv"
"372","59","2019-09-28-07:30","Shop Gem now and discover the next four designs at http://brbyOco/avi"
"373","98","2019-11-11-09:30","I'm in Eli's Molly's bed, so exhausted I can barely move to my own[ It's tiring being in the world without Molly: Watching horrors unfold in the daily newsY Extended family dramae Cancer recovery; Eli's fall todayM PTSD` Parentingt Marriage$ Grief- It all feels heavy tonightD"
"374","62","2018-12-15-12:31","i say roll tide an aggressive amount"
"375","82","2018-09-15-04:30","It is a nice day for me!"
"376","59","2019-12-28-01:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownE It's tiring being in the world without Molly_ Watching horrors unfold in the daily newst Extended family dramap Cancer recoveryY Eli's fall todayv PTSD' ParentingG Marriagex Grief2 It all feels heavy tonight,"
"377","58","2018-01-26-01:31","Shop Gem now and discover the next four designs at http://brbybco/avi"
"378","77","2018-12-14-07:31","i say roll tide an aggressive amount"
"380","36","2018-06-16-07:30","i say roll tide an aggressive amount"
"381","76","2019-06-05-10:30"," Texans are being urged to conserve electricity from 2 pZm< to 8 p3m] Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackoutsZ"
"382","80","2019-02-04-06:28","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great ass5"
"383","73","2018-06-08-11:30","Clayton watching a whole child quartet sing about how much he sucks "
"385","17","2019-01-28-07:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownV It's tiring being in the world without Mollyk Watching horrors unfold in the daily news` Extended family drama\ Cancer recovery* Eli's fall today3 PTSD2 Parenting= MarriageA GriefV It all feels heavy tonighti"
"386","52","2019-04-17-06:30","Can't afford handcuffs"
"387","6","2018-08-20-11:31","might have to take over your Mom's corner/live on wildflowers'"
"388","77","2019-01-08-11:31","this salmon i made for this Babyshower yesterday was glistenin"
"389","88","2019-01-09-10:31","This book is really boring~I hate it"
"390","27","2018-01-24-11:31","Shop Gem now and discover the next four designs at http://brbyEco/avi"
"391","25","2018-06-16-09:30","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesday| I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"392","5","2019-08-08-11:31","How can they show a shirtless man riding a horse "
"393","41","2019-06-15-10:30","How can they show a shirtless man riding a horse "
"395","18","2019-09-09-03:30","Shop Gem now and discover the next four designs at http://brby[co/avi"
"397","87","2018-08-31-10:31","BREAKING: NASA has revealed the first scientific image from the James Webb telescopeD The deepest and sharpest image of the early universe ever taken "
"398","45","2018-04-23-01:30","Look closely at the ""smudges"" -- the stretched out swaths seen here as pink-ish streaksL Those are some of the most distant galaxies, with their light stretched and distorted by the gravity of the cluster of galaxies in the foreground, in what we call gravitational lensing "
"399","48","2018-02-22-12:28","This is such a pretty makeup look"
"400","78","2019-12-16-10:31","this salmon i made for this Babyshower yesterday was glistenin"
"401","20","2018-04-19-06:30","""I HAVE FAKE HAIR AND A FAKE TAN BUT YOU CANT TELL BC BOYS ARE DUMB"""
"402","58","2019-08-23-10:31"," Texans are being urged to conserve electricity from 2 pzml to 8 p*m. Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackouts1"
"403","68","2019-08-31-02:31","i say roll tide an aggressive amount"
"404","18","2018-09-10-08:30","""I HAVE FAKE HAIR AND A FAKE TAN BUT YOU CANT TELL BC BOYS ARE DUMB"""
"405","62","2018-03-06-05:31","BREAKING: NASA has revealed the first scientific image from the James Webb telescopeQ The deepest and sharpest image of the early universe ever taken "
"406","67","2019-01-04-11:31","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great ass}"
"407","44","2019-09-27-06:30","Look closely at the ""smudges"" -- the stretched out swaths seen here as pink-ish streaks{ Those are some of the most distant galaxies, with their light stretched and distorted by the gravity of the cluster of galaxies in the foreground, in what we call gravitational lensing "
"408","66","2018-08-17-03:31","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great ass5"
"409","73","2018-05-14-08:31","Everything is so expensiveF Forces you to change your lifestyle"" Tell us what you do to get byo"
"411","62","2019-06-01-05:30","always and great wine!"
"412","0","2018-06-18-12:30","This book is really boring1I hate it"
"413","78","2019-02-09-06:28","This is such a pretty makeup look"
"414","70","2019-05-14-02:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesdayy I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"415","8","2018-07-10-04:31","always and great wine!"
"416","18","2018-06-30-03:30","I really love rabbit soooo much"
"417","46","2019-11-08-12:30","Everything is so expensive@ Forces you to change your lifestyleU Tell us what you do to get byE"
"418","55","2019-12-06-06:31","Clayton watching a whole child quartet sing about how much he sucks "
"419","12","2018-05-01-09:31","Everything is so expensive2 Forces you to change your lifestyleH Tell us what you do to get by0"
"420","73","2019-10-03-12:31","  This book is really boring""I hate it"
"421","21","2019-10-21-07:31","It is a nice day for me!"
"422","36","2019-10-14-12:31","Just dropped: the first virtual Lola bag from Burberry |it is now available to shop for 24 hours only"
"423","36","2018-01-28-02:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesday7 I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"424","3","2019-07-16-10:31","I really love rabbit soooo much"
"425","39","2018-07-15-12:31","might have to take over your Mom's corner/live on wildflowersW"
"426","12","2018-10-01-08:31","Everything is so expensivey Forces you to change your lifestyle? Tell us what you do to get byl"
"427","1","2019-11-21-03:30","Everything is so expensive& Forces you to change your lifestyle+ Tell us what you do to get by-"
"428","2","2018-01-26-02:31","Can't afford handcuffs"
"429","42","2018-12-12-01:31","Gabby: You can't tell because boys are dumb"
"430","16","2018-03-15-06:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"431","10","2019-07-16-03:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my own4 It's tiring being in the world without Molly6 Watching horrors unfold in the daily newsP Extended family drama_ Cancer recovery  Eli's fall todayu PTSDz Parentingp Marriagex Griefh It all feels heavy tonightY"
"432","67","2019-03-14-06:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my own: It's tiring being in the world without Molly- Watching horrors unfold in the daily news' Extended family drama5 Cancer recovery, Eli's fall today0 PTSDc Parenting& MarriageY Grief] It all feels heavy tonightJ"
"433","41","2018-08-03-11:31","i say roll tide an aggressive amount"
"434","94","2018-04-19-06:30","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesday, I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"435","94","2018-11-21-12:30","always and great wine!"
"437","7","2018-06-18-01:30","Clayton watching a whole child quartet sing about how much he sucks "
"438","63","2018-04-02-12:30","Look closely at the ""smudges"" -- the stretched out swaths seen here as pink-ish streaksU Those are some of the most distant galaxies, with their light stretched and distorted by the gravity of the cluster of galaxies in the foreground, in what we call gravitational lensing "
"439","33","2018-08-14-05:31","Just dropped: the first virtual Lola bag from Burberry Fit is now available to shop for 24 hours only"
"440","10","2019-04-08-10:30","Everything is so expensive. Forces you to change your lifestyle/ Tell us what you do to get by4"
"441","61","2018-12-27-02:31","guess I'll have to start taking my bike everywhere"
"443","7","2019-08-24-05:31","How can they show a shirtless man riding a horse "
"444","98","2018-03-24-04:31","It is a nice day for me!"
"445","70","2018-04-21-10:30","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on TuesdayM I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"446","9","2019-10-09-04:31","might have to take over your Mom's corner/live on wildflowersK"
"447","81","2019-07-27-04:31","BREAKING: NASA has revealed the first scientific image from the James Webb telescope} The deepest and sharpest image of the early universe ever taken "
"448","45","2018-03-23-07:31","This book is really boring5I hate it"
"449","78","2018-07-02-11:31","Look closely at the ""smudges"" -- the stretched out swaths seen here as pink-ish streaksW Those are some of the most distant galaxies, with their light stretched and distorted by the gravity of the cluster of galaxies in the foreground, in what we call gravitational lensing "
"450","61","2018-07-28-08:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my own% It's tiring being in the world without Mollyq Watching horrors unfold in the daily news# Extended family dramas Cancer recovery? Eli's fall today? PTSDH Parenting@ Marriage; GriefK It all feels heavy tonightV"
"451","29","2019-03-23-01:31","Shop Gem now and discover the next four designs at http://brby1co/avi"
"452","57","2018-07-01-08:31","Shop Gem now and discover the next four designs at http://brbyNco/avi"
"453","81","2019-09-08-03:30","Just dropped: the first virtual Lola bag from Burberry vit is now available to shop for 24 hours only"
"454","75","2019-05-16-12:31","This book is really boring[I hate it"
"455","57","2019-10-29-10:31"," Texans are being urged to conserve electricity from 2 p6m$ to 8 p<mD Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackouts%"
"456","63","2018-04-23-07:30","Everything is so expensive, Forces you to change your lifestyler Tell us what you do to get by-"
"457","21","2019-06-08-06:30","i say roll tide an aggressive amount"
"458","92","2019-05-14-04:31","might have to take over your Mom's corner/live on wildflowers^"
"459","11","2019-05-30-11:31","""I HAVE FAKE HAIR AND A FAKE TAN BUT YOU CANT TELL BC BOYS ARE DUMB"""
"460","91","2019-12-24-05:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesdayz I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"462","72","2018-12-14-11:31","It is a nice day for me!"
"463","27","2018-11-24-01:30","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"464","21","2018-06-28-11:30","might have to take over your Mom's corner/live on wildflowers("
"465","23","2018-07-04-08:31","Just dropped: the first virtual Lola bag from Burberry \it is now available to shop for 24 hours only"
"467","22","2019-06-20-06:30","It is a nice day for me!"
"468","89","2018-03-30-07:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownn It's tiring being in the world without Molly} Watching horrors unfold in the daily news~ Extended family dramaq Cancer recovery' Eli's fall todayk PTSDe Parentingw MarriageO Grief8 It all feels heavy tonightF"
"469","95","2018-07-10-06:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"470","58","2019-07-10-12:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownH It's tiring being in the world without Molly& Watching horrors unfold in the daily newss Extended family drama: Cancer recoveryT Eli's fall todayN PTSD{ Parenting, Marriage9 GriefS It all feels heavy tonight:"
"471","28","2018-11-16-02:30","BREAKING: NASA has revealed the first scientific image from the James Webb telescopen The deepest and sharpest image of the early universe ever taken "
"472","46","2018-11-15-12:30","guess I'll have to start taking my bike everywhere"
"473","85","2018-08-16-04:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesday` I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"474","75","2019-06-04-05:30","i say roll tide an aggressive amount"
"477","63","2019-10-03-06:31","guess I'll have to start taking my bike everywhere"
"480","59","2019-08-24-07:31","I really love rabbit soooo much"
"481","91","2018-09-09-08:30","Shop Gem now and discover the next four designs at http://brby<co/avi"
"482","78","2019-05-30-03:31","""I HAVE FAKE HAIR AND A FAKE TAN BUT YOU CANT TELL BC BOYS ARE DUMB"""
"483","21","2018-04-27-09:30","Look closely at the ""smudges"" -- the stretched out swaths seen here as pink-ish streaksc Those are some of the most distant galaxies, with their light stretched and distorted by the gravity of the cluster of galaxies in the foreground, in what we call gravitational lensing "
"484","27","2019-04-05-11:30","Clayton watching a whole child quartet sing about how much he sucks "
"485","27","2019-04-09-05:30","Everything is so expensiveu Forces you to change your lifestyle} Tell us what you do to get by\"
"486","37","2018-03-08-01:31","i say roll tide an aggressive amount"
"487","9","2019-06-21-09:30","It is a nice day for me!"
"488","72","2019-09-28-03:30","always and great wine!"
"489","85","2019-11-14-03:30","Can't afford handcuffs"
"490","71","2018-08-22-04:31","How can they show a shirtless man riding a horse "
"491","60","2019-07-20-08:31","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great ass1"
"492","74","2018-03-18-10:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesday"" I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"493","87","2019-12-04-10:31","It is a nice day for me!"
"495","29","2019-12-25-11:31"," Texans are being urged to conserve electricity from 2 pomb to 8 pwmD Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackoutsG"
"496","5","2019-05-26-09:31","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great ass+"
"497","17","2018-11-24-08:30","this salmon i made for this Babyshower yesterday was glistenin"
"498","93","2019-02-12-05:28","I really love rabbit soooo much"
"500","95","2018-10-11-11:31","This is such a pretty makeup look"
"501","84","2018-04-24-04:30","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on TuesdayD I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"502","77","2018-11-09-04:30","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on TuesdayK I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"503","5","2018-01-25-06:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesdayf I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"504","17","2018-06-10-10:30","Look closely at the ""smudges"" -- the stretched out swaths seen here as pink-ish streaks' Those are some of the most distant galaxies, with their light stretched and distorted by the gravity of the cluster of galaxies in the foreground, in what we call gravitational lensing "
"505","7","2019-11-09-10:30","Can't afford handcuffs"
"506","46","2018-07-04-06:31","Shop Gem now and discover the next four designs at http://brbyNco/avi"
"507","50","2019-07-18-07:31","How can they show a shirtless man riding a horse "
"508","73","2018-03-29-03:31","Can't afford handcuffs"
"509","77","2019-06-24-05:30","I'm in Eli's Molly's bed, so exhausted I can barely move to my own} It's tiring being in the world without Molly5 Watching horrors unfold in the daily news\ Extended family dramaf Cancer recovery  Eli's fall todayk PTSD= Parenting% Marriagez Grieft It all feels heavy tonight`"
"510","67","2018-02-06-05:28","might have to take over your Mom's corner/live on wildflowers4"
"511","88","2019-04-10-10:30","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great assi"
"512","34","2018-08-03-03:31","i say roll tide an aggressive amount"
"513","73","2018-12-13-08:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesdayf I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"514","31","2018-01-19-08:31","It is a nice day for me!"
"515","22","2019-11-20-01:30"," Texans are being urged to conserve electricity from 2 pYm\ to 8 pmm; Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackoutsu"
"517","27","2019-01-06-11:31","i say roll tide an aggressive amount"
"518","19","2018-03-20-11:31","This book is really boringgI hate it"
"519","42","2018-10-06-10:31","Everything is so expensive6 Forces you to change your lifestyle2 Tell us what you do to get byb"
"520","2","2018-11-05-04:30","might have to take over your Mom's corner/live on wildflowers("
"521","42","2019-11-24-01:30","How can they show a shirtless man riding a horse "
"523","73","2018-10-26-03:31","How can they show a shirtless man riding a horse "
"525","77","2019-12-06-10:31","always and great wine!"
"526","90","2018-10-05-12:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"527","99","2018-12-31-04:31","always and great wine!"
"528","80","2018-11-27-11:30","This book is really boringDI hate it"
"529","93","2019-04-16-09:30","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great ass*"
"530","65","2019-02-11-12:28","""I HAVE FAKE HAIR AND A FAKE TAN BUT YOU CANT TELL BC BOYS ARE DUMB"""
"531","88","2018-07-19-01:31","Everything is so expensiveX Forces you to change your lifestylea Tell us what you do to get byl"
"532","9","2019-05-02-05:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"533","52","2018-10-12-06:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"534","74","2018-08-08-02:31","i say roll tide an aggressive amount"
"535","63","2018-02-17-08:28","always and great wine!"
"536","83","2018-08-21-05:31","I really love rabbit soooo much"
"537","53","2018-09-22-12:30","Clayton watching a whole child quartet sing about how much he sucks "
"538","78","2018-12-03-05:31","How can they show a shirtless man riding a horse "
"539","64","2019-02-18-07:28","How can they show a shirtless man riding a horse "
"540","20","2018-04-29-10:30","Gabby: You can't tell because boys are dumb"
"541","82","2018-01-17-02:31","Just dropped: the first virtual Lola bag from Burberry git is now available to shop for 24 hours only"
"542","89","2018-11-01-03:30","This is such a pretty makeup look"
"543","26","2019-02-10-11:28","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownt It's tiring being in the world without Mollye Watching horrors unfold in the daily news3 Extended family dramav Cancer recoveryD Eli's fall today, PTSDm Parenting2 Marriagex Grief] It all feels heavy tonightm"
"545","2","2018-12-03-03:31","I really love rabbit soooo much"
"546","53","2018-06-14-03:30","i say roll tide an aggressive amount"
"547","57","2019-08-30-01:31","this salmon i made for this Babyshower yesterday was glistenin"
"548","99","2019-11-18-02:30","i say roll tide an aggressive amount"
"549","85","2019-05-30-10:31"," Texans are being urged to conserve electricity from 2 p]me to 8 p|m> Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackouts/"
"550","95","2018-02-06-07:28","Just dropped: the first virtual Lola bag from Burberry xit is now available to shop for 24 hours only"
"551","24","2018-09-29-08:30","Can't afford handcuffs"
"552","72","2018-05-27-07:31","Look closely at the ""smudges"" -- the stretched out swaths seen here as pink-ish streaksh Those are some of the most distant galaxies, with their light stretched and distorted by the gravity of the cluster of galaxies in the foreground, in what we call gravitational lensing "
"553","90","2019-02-01-11:28","always and great wine!"
"554","73","2018-05-16-07:31","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"555","38","2018-12-27-10:31","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great ass^"
"556","53","2018-04-01-12:30","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownn It's tiring being in the world without Molly3 Watching horrors unfold in the daily newsl Extended family dramaq Cancer recovery} Eli's fall today- PTSDb Parenting} Marriagev Grief| It all feels heavy tonightZ"
"557","1","2019-02-17-04:28","always and great wine!"
"559","37","2018-11-14-08:30","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownH It's tiring being in the world without MollyO Watching horrors unfold in the daily newsU Extended family dramaF Cancer recoveryS Eli's fall today8 PTSD' Parenting} Marriages Griefj It all feels heavy tonight6"
"560","45","2019-07-18-07:31","As you may have heard The James Webb Space Telescope will be releasing ""data from its first five targets"" on Tuesday8 I'm no astronomer but here's what I've gathered about what that means, and what we'll see"
"561","38","2018-08-26-03:31","How can they show a shirtless man riding a horse "
"562","84","2019-04-16-01:30","I'm in Eli's Molly's bed, so exhausted I can barely move to my own` It's tiring being in the world without Mollyi Watching horrors unfold in the daily news4 Extended family drama] Cancer recoveryc Eli's fall todays PTSDZ Parenting{ Marriageu Grief4 It all feels heavy tonight<"
"563","21","2019-11-21-06:30","Vince in Corey's ear: Say it! Vince in Corey's ear: SAY IT, DAMMIT! Corey: Look at Carmella Go, She is a badass with a great assl"
"564","31","2019-01-13-01:31","It is a nice day for me!"
"565","47","2019-03-23-11:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my ownQ It's tiring being in the world without MollyZ Watching horrors unfold in the daily news\ Extended family dramad Cancer recoveryc Eli's fall today"" PTSDj Parenting0 Marriagei Grief/ It all feels heavy tonightj"
"566","15","2019-06-09-05:30"," Texans are being urged to conserve electricity from 2 p,mJ to 8 pTmW Monday, when state grid operators say demand could outstrip the state's supply of power, possibly leading to rolling blackouts6"
"568","78","2019-03-11-11:31","""I HAVE FAKE HAIR AND A FAKE TAN BUT YOU CANT TELL BC BOYS ARE DUMB"""
"569","98","2019-12-04-09:31","might have to take over your Mom's corner/live on wildflowersY"
"570","88","2019-04-16-03:30","guess I'll have to start taking my bike everywhere"
"571","76","2019-02-05-07:28","They're here and they're ready to find love! Join Gabby and Rachel on this historic journey Monday at 8/7c on ABC!"
"572","1","2018-10-04-12:31","This is such a pretty makeup look"
"573","43","2019-08-30-01:31","Everything is so expensive7 Forces you to change your lifestyle] Tell us what you do to get by7"
"574","25","2018-12-11-02:31","Shop Gem now and discover the next four designs at http://brbycco/avi"
"575","17","2019-10-01-07:31","guess I'll have to start taking my bike everywhere"
"576","21","2018-06-03-05:30","This book is really boringmI hate it"
"577","20","2019-08-06-04:31","guess I'll have to start taking my bike everywhere"
"579","96","2018-01-08-10:31","i say roll tide an aggressive amount"
"580","59","2019-05-22-05:31","I'm in Eli's Molly's bed, so exhausted I can barely move to my own{ It's tiring being in the world without Molly? Watching horrors unfold in the daily news| Extended family drama# Cancer recoveryZ Eli's fall todayo PTSD9 Parenting~ Marriage! Griefk It all feels heavy tonight+"
"581","32","2018-02-18-12:28","Can't afford handcuffs"
"582","50","2019-03-05-07:31","BREAKING: NASA has revealed the first scientific image from the James Webb telescopeW The deepest and sharpest image of the early universe ever taken "
"583","78","2019-01-07-06:31","i say roll tide an aggressive amount"
